algorithm,size,scenario,iteration,time_ms
merge,10000,random,0,0.6602
merge,10000,random,1,1.0601
merge,10000,random,2,0.6439
merge,10000,random,3,0.6396
merge,10000,random,4,0.6362
merge,10000,random,5,0.6375
merge,10000,random,6,0.6695
merge,10000,random,7,0.6336
merge,10000,random,8,0.8926
merge,10000,random,9,0.7957
merge,10000,random,10,0.6418
merge,10000,random,11,0.633
merge,10000,random,12,0.6354
merge,10000,random,13,0.6356
merge,10000,random,14,0.6498
merge,10000,random,15,0.6355
merge,10000,random,16,0.9935
merge,10000,random,17,0.6879
merge,10000,random,18,0.6674
merge,10000,random,19,0.6667
merge,10000,random,20,0.6535
merge,10000,random,21,0.6542
merge,10000,random,22,0.6578
merge,10000,random,23,0.656
merge,10000,random,24,0.9671
merge,10000,random,25,0.6377
merge,10000,random,26,0.637
merge,10000,random,27,0.6374
merge,10000,random,28,0.6532
merge,10000,random,29,0.6338
merge,10000,random,30,0.669
merge,10000,random,31,0.6653
merge,10000,random,32,0.9229
merge,10000,random,33,0.6969
merge,10000,random,34,0.7471
merge,10000,random,35,0.8814
merge,10000,random,36,0.672
merge,10000,random,37,0.6636
merge,10000,random,38,0.6657
merge,10000,random,39,1.0241
merge,10000,random,40,0.6664
merge,10000,random,41,0.6374
merge,10000,random,42,0.646
merge,10000,random,43,0.639
merge,10000,random,44,0.6318
merge,10000,random,45,0.64
merge,10000,random,46,0.6567
merge,10000,random,47,0.8717
merge,10000,random,48,0.7274
merge,10000,random,49,0.7228
merge,10000,random,50,0.9511
merge,10000,random,51,0.7208
merge,10000,random,52,0.6459
merge,10000,random,53,0.6361
merge,10000,random,54,0.8399
merge,10000,random,55,0.8616
merge,10000,random,56,0.6337
merge,10000,random,57,0.6393
merge,10000,random,58,0.6358
merge,10000,random,59,0.6669
merge,10000,random,60,0.6368
merge,10000,random,61,0.6374
merge,10000,random,62,0.8648
merge,10000,random,63,0.6695
merge,10000,random,64,0.6363
merge,10000,random,65,0.6333
merge,10000,random,66,0.6368
merge,10000,random,67,0.6673
merge,10000,random,68,0.6652
merge,10000,random,69,0.6363
merge,10000,random,70,0.7895
merge,10000,random,71,0.732
merge,10000,random,72,0.7719
merge,10000,random,73,0.6715
merge,10000,random,74,0.8765
merge,10000,random,75,0.8326
merge,10000,random,76,0.7105
merge,10000,random,77,0.86
merge,10000,random,78,0.7241
merge,10000,random,79,0.6705
merge,10000,random,80,0.6967
merge,10000,random,81,0.6639
merge,10000,random,82,0.7995
merge,10000,random,83,0.7467
merge,10000,random,84,0.6361
merge,10000,random,85,0.8379
merge,10000,random,86,0.6684
merge,10000,random,87,0.6328
merge,10000,random,88,0.6639
merge,10000,random,89,0.6625
merge,10000,random,90,0.6371
merge,10000,random,91,0.6667
merge,10000,random,92,0.6619
merge,10000,random,93,0.8861
merge,10000,random,94,0.6478
merge,10000,random,95,0.6357
merge,10000,random,96,0.6397
merge,10000,random,97,0.6518
merge,10000,random,98,0.6342
merge,10000,random,99,0.6385
quick_med3,10000,random,0,0.7794
quick_med3,10000,random,1,0.5523
quick_med3,10000,random,2,0.5483
